sample	tb_group	mode	taxid	name	rank_code	pct	clade_reads	taxon_reads
SRR28476501	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	982	0
SRR28476501	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	195	169
SRR28476502	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	989	0
SRR28476502	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	209	121
SRR28476504	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	4618	0
SRR28476504	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	118	65
SRR28476506	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	828	0
SRR28476506	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	249	239
SRR28476507	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	1085	0
SRR28476507	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	156	114
SRR28476453	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	8436	0
SRR28476453	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	189	182
SRR28476454	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	9697	0
SRR28476454	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	134	92
SRR28476455	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	20056	1
SRR28476455	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	112	80
SRR28476456	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	9879	0
SRR28476456	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	126	113
SRR28476457	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	6081	0
SRR28476457	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	38	36
SRR28476458	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	3913	0
SRR28476458	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	170	146
SRR28476462	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	4613	0
SRR28476462	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	60	57
SRR28476463	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	28601	0
SRR28476463	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	332	286
SRR28476464	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	35030	0
SRR28476464	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	129	101
SRR28476465	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	5253	0
SRR28476465	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	187	142
SRR28476468	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	19275	1
SRR28476468	pos	relaxed	1773	Mycobacterium tuberculosis	S	NA	267	184
SRR28476470	pos	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	299	0
