clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus|s__Dermacoccus_nishinomiyaensis	Dermacoccus_nishinomiyaensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Dermacoccus	s__Dermacoccus_nishinomiyaensis	0.010093433333333334	0.00528075	0.0043768	0.00528075	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus|s__Dermacoccus_nishinomiyaensis|t__SGB16007	Dermacoccus_nishinomiyaensis	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Dermacoccaceae	g__Dermacoccus	s__Dermacoccus_nishinomiyaensis	0.010093433333333334	0.00528075	0.0043768	0.00528075	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae	Kytococcaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae	NA	NA	NA	8.378e-4	NA	8.378e-4	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae|g__Kytococcus	Kytococcus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae	g__Kytococcus	NA	NA	8.378e-4	NA	8.378e-4	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae|g__Kytococcus|s__Kytococcus_sedentarius	Kytococcus_sedentarius	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae	g__Kytococcus	s__Kytococcus_sedentarius	NA	8.378e-4	NA	8.378e-4	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Kytococcaceae|g__Kytococcus|s__Kytococcus_sedentarius|t__SGB16000	Kytococcus_sedentarius	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Kytococcaceae	g__Kytococcus	s__Kytococcus_sedentarius	NA	8.378e-4	NA	8.378e-4	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	Microbacteriaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	NA	NA	NA	0.01627775	NA	0.01627775	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium	Microbacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	NA	NA	0.0136904	NA	0.0136904	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_aquilitoris	Microbacterium_aquilitoris	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_aquilitoris	NA	0.0093399	NA	0.0093399	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_aquilitoris|t__SGB16906	Microbacterium_aquilitoris	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_aquilitoris	NA	0.0093399	NA	0.0093399	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_lemovicicum	Microbacterium_lemovicicum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_lemovicicum	NA	0.0043505	NA	0.0043505	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_lemovicicum|t__SGB34956	Microbacterium_lemovicicum	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_lemovicicum	NA	0.0043505	NA	0.0043505	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Pseudoclavibacter	Pseudoclavibacter	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Pseudoclavibacter	NA	NA	0.0012742	NA	0.0012742	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Pseudoclavibacter|s__Pseudoclavibacter_sp_Marseille_Q3772	Pseudoclavibacter_sp_Marseille_Q3772	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter_sp_Marseille_Q3772	NA	0.0012742	NA	0.0012742	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Pseudoclavibacter|s__Pseudoclavibacter_sp_Marseille_Q3772|t__SGB107548	Pseudoclavibacter_sp_Marseille_Q3772	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter_sp_Marseille_Q3772	NA	0.0012742	NA	0.0012742	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter	Rathayibacter	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	NA	NA	0.0175909	NA	0.0175909	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_festucae	Rathayibacter_festucae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter_festucae	NA	0.0076849	NA	0.0076849	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_festucae|t__SGB34992	Rathayibacter_festucae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter_festucae	NA	0.0076849	NA	0.0076849	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_sp_AY1A1	Rathayibacter_sp_AY1A1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter_sp_AY1A1	NA	0.009906	NA	0.009906	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_sp_AY1A1|t__SGB23914	Rathayibacter_sp_AY1A1	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter_sp_AY1A1	NA	0.009906	NA	0.009906	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae	Micrococcaceae	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	NA	NA	0.07677317142857143	0.09672993846153846	0.01341995	0.0120147	1	1
