clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Bacteria_unclassified	Bacteria_unclassified	k__Bacteria	p__Bacteria_unclassified	NA	NA	NA	NA	NA	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	Bacteria_unclassified	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	NA	NA	NA	NA	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	Bacteria_unclassified	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	NA	NA	NA	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	Bacteria_unclassified	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	NA	NA	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	Bacteria_unclassified	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	NA	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium	bacterium	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium|t__SGB94171	bacterium	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacterium	NA	0.0339441	NA	0.0339441	NA	1
k__Bacteria|p__Bacteroidota	Bacteroidota	k__Bacteria	p__Bacteroidota	NA	NA	NA	NA	NA	NA	0.011107249999999999	NA	0.011107249999999999	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia	Bacteroidia	k__Bacteria	p__Bacteroidota	c__Bacteroidia	NA	NA	NA	NA	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	Bacteroidales	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	NA	NA	NA	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	Bacteroidaceae	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	NA	NA	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	Phocaeicola	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	NA	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola	Phocaeicola_coprocola	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_coprocola	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola|t__SGB1891	Phocaeicola_coprocola	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola_coprocola	NA	5.644e-4	NA	5.644e-4	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	Flavobacteriia	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	NA	NA	NA	NA	NA	0.0112868	NA	0.0112868	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	Flavobacteriales	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	NA	NA	NA	NA	0.0112868	NA	0.0112868	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	Weeksellaceae	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	NA	NA	NA	0.0112868	NA	0.0112868	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas	Epilithonimonas	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Epilithonimonas	NA	NA	0.0068004	NA	0.0068004	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_hominis	Epilithonimonas_hominis	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Epilithonimonas	s__Epilithonimonas_hominis	NA	0.0068004	NA	0.0068004	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_hominis|t__SGB2549	Epilithonimonas_hominis	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Epilithonimonas	s__Epilithonimonas_hominis	NA	0.0068004	NA	0.0068004	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksellaceae_unclassified	Weeksellaceae_unclassified	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Weeksellaceae_unclassified	NA	NA	0.0044864	NA	0.0044864	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksellaceae_unclassified|s__Weeksellaceae_bacterium	Weeksellaceae_bacterium	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Weeksellaceae_unclassified	s__Weeksellaceae_bacterium	NA	0.0044864	NA	0.0044864	NA	1
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksellaceae_unclassified|s__Weeksellaceae_bacterium|t__SGB194979	Weeksellaceae_bacterium	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Weeksellaceae_unclassified	s__Weeksellaceae_bacterium	NA	0.0044864	NA	0.0044864	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	Sphingobacteriia	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	NA	NA	NA	NA	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	Sphingobacteriales	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	NA	NA	NA	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	Sphingobacteriaceae	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	NA	NA	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	Pedobacter	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	NA	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_sp_Leaf41	Pedobacter_sp_Leaf41	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_Leaf41	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_sp_Leaf41|t__SGB3114	Pedobacter_sp_Leaf41	k__Bacteria	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_Leaf41	NA	0.0103633	NA	0.0103633	NA	1
k__Bacteria|p__Firmicutes	Firmicutes	k__Bacteria	p__Firmicutes	NA	NA	NA	NA	NA	0.055256069230769235	0.07813725454545455	0.0293585	0.0214663	1	1
k__Bacteria|p__Firmicutes|c__Bacilli	Bacilli	k__Bacteria	p__Firmicutes	c__Bacilli	NA	NA	NA	NA	0.055256069230769235	0.07813725454545455	0.0293585	0.0214663	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	Bacillales	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	NA	NA	NA	0.023478866666666667	0.07511058	0.0196791	0.0226533	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	Bacillaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	NA	NA	0.00520505	0.09197535000000001	0.00520505	0.09197535000000001	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus	Caldibacillus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Caldibacillus	NA	0.004375550000000001	0.0791114	0.004375550000000001	0.0791114	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_debilis	Caldibacillus_debilis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Caldibacillus	s__Caldibacillus_debilis	NA	0.0791114	NA	0.0791114	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_debilis|t__SGB8338	Caldibacillus_debilis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Caldibacillus	s__Caldibacillus_debilis	NA	0.0791114	NA	0.0791114	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans	Caldibacillus_thermoamylovorans	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Caldibacillus	s__Caldibacillus_thermoamylovorans	0.004375550000000001	NA	0.004375550000000001	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans|t__SGB7728	Caldibacillus_thermoamylovorans	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Caldibacillus	s__Caldibacillus_thermoamylovorans	0.004375550000000001	NA	0.004375550000000001	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus	Geobacillus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	NA	NA	0.0483342	NA	0.0483342	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus	Geobacillus_stearothermophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	s__Geobacillus_stearothermophilus	NA	0.0483342	NA	0.0483342	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus|t__SGB8344	Geobacillus_stearothermophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	s__Geobacillus_stearothermophilus	NA	0.0483342	NA	0.0483342	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia	Heyndrickxia	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	NA	0.001659	0.008171	0.001659	0.008171	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_coagulans	Heyndrickxia_coagulans	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	s__Heyndrickxia_coagulans	0.001659	0.0033925	0.001659	0.0033925	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_coagulans|t__SGB7729	Heyndrickxia_coagulans	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	s__Heyndrickxia_coagulans	0.001659	0.0033925	0.001659	0.0033925	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Weizmannia_acidilactici	Weizmannia_acidilactici	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	s__Weizmannia_acidilactici	NA	0.0047785	NA	0.0047785	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Weizmannia_acidilactici|t__SGB66482	Weizmannia_acidilactici	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Heyndrickxia	s__Weizmannia_acidilactici	NA	0.0047785	NA	0.0047785	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	Staphylococcaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	NA	NA	0.0223222	0.047900525	0.0174888	0.04433405	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus	Jeotgalicoccus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	NA	NA	0.0097961	NA	0.0097961	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_aerolatus	Jeotgalicoccus_aerolatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	s__Jeotgalicoccus_aerolatus	NA	0.0025828	NA	0.0025828	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_aerolatus|t__SGB24958	Jeotgalicoccus_aerolatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	s__Jeotgalicoccus_aerolatus	NA	0.0025828	NA	0.0025828	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_coquinae	Jeotgalicoccus_coquinae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	s__Jeotgalicoccus_coquinae	NA	0.0072133	NA	0.0072133	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_coquinae|t__SGB82657	Jeotgalicoccus_coquinae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	s__Jeotgalicoccus_coquinae	NA	0.0072133	NA	0.0072133	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus	Salinicoccus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Salinicoccus	NA	NA	0.0602839	NA	0.0602839	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_sp_YB14_2	Salinicoccus_sp_YB14_2	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Salinicoccus	s__Salinicoccus_sp_YB14_2	NA	0.0602839	NA	0.0602839	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_sp_YB14_2|t__SGB29722	Salinicoccus_sp_YB14_2	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Salinicoccus	s__Salinicoccus_sp_YB14_2	NA	0.0602839	NA	0.0602839	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	Staphylococcus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	NA	0.0223222	0.030380525	0.0174888	0.024001250000000002	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	Staphylococcus_epidermidis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.011142783333333333	0.0303617	0.0079111	0.0303617	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__SGB7865	Staphylococcus_epidermidis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.011142783333333333	0.0303617	0.0079111	0.0303617	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum	Staphylococcus_equorum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_equorum	NA	0.0253492	NA	0.0253492	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	Staphylococcus_equorum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_equorum	NA	0.0253492	NA	0.0253492	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis	Staphylococcus_hominis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_hominis	0.00241095	0.0075048	0.00241095	0.0075048	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis|t__SGB7858	Staphylococcus_hominis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_hominis	0.00241095	0.0075048	0.00241095	0.0075048	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pasteuri	Staphylococcus_pasteuri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_pasteuri	0.02153685	0.0226533	0.0105428	0.0226533	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pasteuri|t__SGB7855	Staphylococcus_pasteuri	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_pasteuri	0.02153685	0.0226533	0.0105428	0.0226533	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pettenkoferi	Staphylococcus_pettenkoferi	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_pettenkoferi	NA	0.0356531	NA	0.0356531	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pettenkoferi|t__SGB7815	Staphylococcus_pettenkoferi	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_pettenkoferi	NA	0.0356531	NA	0.0356531	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	Lactobacillales	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	NA	NA	NA	0.0422516	0.04839570000000001	0.03046475	0.014576249999999999	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	Aerococcaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	NA	NA	9.013e-4	NA	9.013e-4	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus	Aerococcus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	NA	9.013e-4	NA	9.013e-4	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_urinaeequi	Aerococcus_urinaeequi	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus_urinaeequi	9.013e-4	NA	9.013e-4	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_urinaeequi|t__SGB7897	Aerococcus_urinaeequi	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus_urinaeequi	9.013e-4	NA	9.013e-4	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	Carnobacteriaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	NA	NA	0.03668551666666667	0.014268488888888889	0.03014165	0.0125928	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum	Dolosigranulum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Dolosigranulum	NA	0.03668551666666667	0.014268488888888889	0.03014165	0.0125928	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum|s__Dolosigranulum_pigrum	Dolosigranulum_pigrum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Dolosigranulum	s__Dolosigranulum_pigrum	0.03668551666666667	0.014268488888888889	0.03014165	0.0125928	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum|s__Dolosigranulum_pigrum|t__SGB7017	Dolosigranulum_pigrum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Dolosigranulum	s__Dolosigranulum_pigrum	0.03668551666666667	0.014268488888888889	0.03014165	0.0125928	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	Lactobacillaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	NA	NA	NA	0.0068295	NA	0.0068295	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	Lactobacillus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	NA	NA	0.0068295	NA	0.0068295	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners	Lactobacillus_iners	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_iners	NA	0.0068295	NA	0.0068295	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners|t__SGB7025	Lactobacillus_iners	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_iners	NA	0.0068295	NA	0.0068295	NA	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	Streptococcaceae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	NA	NA	0.03177833333333333	0.1743555	0.0164943	0.1743555	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	Lactococcus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	NA	0.0346303	NA	0.0346303	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris	Lactococcus_cremoris	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_cremoris	0.0335913	NA	0.0335913	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	Lactococcus_cremoris	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_cremoris	0.0335913	NA	0.0335913	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	Lactococcus_lactis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_lactis	0.001039	NA	0.001039	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	Lactococcus_lactis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus_lactis	0.001039	NA	0.001039	NA	1	NA
